ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
3Kam43,0022-07-19,3,Kamiak,4,GB,Halictidae,Agapostemon,,
32Chp33,0022-07-25,3,Chipman1,3,GB,Halictidae,Agapostemon,Texanus,
3SH12,0022-07-08,2,Smoot ,1,GB,Halictidae,Agapostemon,,
4Chpp41,0022-06-02,1,Chipman2,4,SB,Andrenidae,Andrena,,
9Chpp41,0022-06-02,1,Chipman2,4,SB,Andrenidae,Andrena,,
35Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
39Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
40Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
41Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
42Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
43Chpp41,0022-06-02,1,Chipman2,4,OLB,Andrenidae,Andrena,,
28Chpp31,0022-06-02,1,Chipman2,3,SB,Andrenidae,Andrena,Male,
31Chpp31,0022-06-02,1,Chipman2,3,SB,Andrenidae,Andrena,Male,
3Chpp11,0022-06-02,1,Chipman2,1,OLB,Andrenidae,Andrena,"Female, some pollen on leg",
12Chpp11,0022-06-02,1,Chipman2,1,OLB,Andrenidae,Andrena,,
57Chpp21,0022-06-02,1,Chipman2,2,OLB,Andrenidae,Andrena,Male,
58Chpp21,0022-06-02,1,Chipman2,2,OLB,Andrenidae,Andrena,,
34Chp11,0022-06-02,1,Chipman1,1,OLB,Andrenidae,Andrena,,
3Chp21,0022-06-02,1,Chipman1,2,OLB,Andrenidae,Andrena,,
6Chp31,0022-06-02,1,Chipman1,3,OLB,Andrenidae,Andrena,Abdomen missing/recovered,
8Chp31,0022-06-02,1,Chipman1,3,OLB,Andrenidae,Andrena,,
2Chp41,0022-06-02,1,Chipman1,4,OLB,Andrenidae,Andrena,,
4Chp41,0022-06-02,1,Chipman1,4,OLB,Andrenidae,Andrena,,
6Chp41,0022-06-02,1,Chipman1,4,OLB,Andrenidae,Andrena,,
9Ck22,0022-06-28,2,Clark1,2,OLB,Andrenidae,Andrena,,
3Ck32,0022-06-28,2,Clark1,3,OLB,Andrenidae,Andrena,Male,
4Ck32,0022-06-28,2,Clark1,3,OLB,Andrenidae,Andrena,Male,
4Ck42,0022-06-28,2,Clark1,4,OLB,Andrenidae,Andrena,,
5Ck42,0022-06-28,2,Clark1,4,OLB,Andrenidae,Andrena,Male,
3Aso31,0022-06-08,1,Asotin,3,OLB,Andrenidae,Andrena,Male,
4Aso31,0022-06-08,1,Asotin,3,OLB,Andrenidae,Andrena,,
