Site,Beestability,BeePDI,BeeAbundance,BeeRichness,BeeShannon_Diversity,PlantPDI,Plantstability,PlantAbundance,PlantRichness,PlantShannon_Diversity,X2kmCan.,X1kmCan.,X500mCan.,X150mCan.,X75mCan.,X50mCan.,DistancetoCanola,Non-flowering ag,Barren,Development,Tree Fruit Crops,Forest and Tree Crops,Wetland and Open Water,Pasture,Other Flowering ag,Canola,ManuallyCalculatedCanola
Asotin,1.532853914,0.54526426,211,13,1.428429154,0.625,0.128336074,136,5,1.080573848,0.577385737,0,0,0,0,0,1699.771,4.047790216,0.074098832,3.329465981,0,66.10373909,0.179787742,25.64244798,0.182138733,0.440529075,0.577385737
Chipman1,2.647720023,0.772025884,217,14,1.842770095,1,0.157585245,588,24,3.062825325,3.321528806,0,0,0,0,0,1456.316,23.35481224,0.331624356,53.01050362,0.00719151,5.862758449,0.086298116,8.204946337,5.895267724,3.246595288,3.321528806
Chipman2,0.636223055,1,209,10,1.379836655,0.992,0.216745748,283,20,2.882937427,43.01676633,58.3000937,32.44183819,0,0,0,224.074,26.64481205,0.150334729,5.703906146,0.00719151,2.201618101,0.185420526,2.326302612,20.90278659,41.87762523,43.01676633
Clark1,1.00393528,0.890160942,143,12,1.893096474,1,1.023907758,189,22,2.986795475,25.94965337,28.93051115,32.07435574,26.11593752,23.4052344,20.21483111,11.3915,42.05589251,0.989737996,3.652694362,0.00719151,1.846246735,0.127587805,2.0939827,23.73856075,25.48810441,25.94965337
Clark2,2.201398157,0.930645429,63,9,1.973039881,1,0.255066156,257,16,2.599624037,20.21854781,36.2003992,27.02601263,0,0,0,158.727,44.75426423,0.158213213,3.323903578,0.014383019,19.28070612,0.208553781,11.57412298,1.896808745,18.78904283,20.21854781
Hutchins,3.078963918,0.752970607,142,10,1.231562312,1,0.143784269,266,6,1.605207107,4.747579004,8.419113008,33.67647382,82.69158131,76.39919471,55.59725637,13.164,77.18464057,4.557054798,3.029177436,0.00719151,0.167200433,0.050340568,1.417283211,7.201470884,6.385639231,4.747579004
Kamiak,2.51629956,0.828936453,110,18,2.376932801,1,0.222983244,302,16,2.599006814,0,0,0,0,0,0,2161.769,38.14329688,2.483008523,2.990759218,0.00719151,19.63167672,0.210227207,11.17862594,21.44944668,3.905764923,0
Plaza,1.732050808,1,36,9,1.615358369,1,0.12191071,798,14,2.5393674,0,0,0,0,0,0,8099.716,1.167080102,0.050340568,3.002407454,0.00719151,62.00622193,8.283232134,24.8385018,0.645023037,0,0
Smoot,1.024826929,0.902439024,127,11,1.930578655,1,0.19781579,262,15,2.497346964,21.19224802,0,0,0,0,0,1153.906,38.4314278,6.694503687,1.792125511,0.00719151,19.67523311,0.125769023,17.77056809,3.900594269,11.6025844,21.19224802
Spangle,1.123288468,0.974358974,46,6,1.345689798,1,0.1417567,265,11,2.282374376,1.749052272,0,0,0,0,0,1639.048,23.23518316,2.694931788,4.229600132,0,3.984890842,1.302864181,48.49233933,15.33087652,0.729312093,1.749052272
