SiteSeason,Site,Season,Abundance,Richness,Shannon_Diversity
Asotin_PreBloom,Asotin,PreBloom,56,4,1.277034259
Chipman1_PreBloom,Chipman1,PreBloom,330,15,2.625048159
Chipman2_PreBloom,Chipman2,PreBloom,125,12,2.441015278
Clark1_PreBloom,Clark1,PreBloom,93,9,2.13833306
Clark2_PreBloom,Clark2,PreBloom,173,9,2.119280922
Hutchins_PreBloom,Hutchins,PreBloom,182,3,1.098612289
Kamiak_PreBloom,Kamiak,PreBloom,42,4,1.33217904
Smoot_PreBloom,Smoot,PreBloom,74,8,1.973001406
TurnbullPlaza_PreBloom,TurnbullPlaza,PreBloom,727,10,2.205598359
TurnbullSpangle_PreBloom,TurnbullSpangle,PreBloom,225,6,1.747868097
Asotin_PeakBloom,Asotin,PeakBloom,72,1,0
Chipman1_PeakBloom,Chipman1,PeakBloom,231,8,2.022808529
Chipman2_PeakBloom,Chipman2,PeakBloom,93,6,1.747868097
Clark1_PeakBloom,Clark1,PeakBloom,86,11,2.338371705
Clark2_PeakBloom,Clark2,PeakBloom,71,7,1.906154747
Hutchins_PeakBloom,Hutchins,PeakBloom,37,3,1.039720771
Kamiak_PeakBloom,Kamiak,PeakBloom,116,11,2.338371705
Smoot_PeakBloom,Smoot,PeakBloom,141,6,1.704551445
TurnbullPlaza_PeakBloom,TurnbullPlaza,PeakBloom,67,3,1.098612289
TurnbullSpangle_PeakBloom,TurnbullSpangle,PeakBloom,31,5,1.549826046
Asotin_DeclineBloom,Asotin,DeclineBloom,8,2,0.562335145
Chipman1_DeclineBloom,Chipman1,DeclineBloom,27,6,1.747868097
Chipman2_DeclineBloom,Chipman2,DeclineBloom,65,7,1.906154747
Clark1_DeclineBloom,Clark1,DeclineBloom,10,3,1.039720771
Clark2_DeclineBloom,Clark2,DeclineBloom,13,2,0.693147181
Hutchins_DeclineBloom,Hutchins,DeclineBloom,47,3,1.098612289
Kamiak_DeclineBloom,Kamiak,DeclineBloom,144,6,1.671595278
Smoot_DeclineBloom,Smoot,DeclineBloom,47,6,1.732867951
TurnbullPlaza_DeclineBloom,TurnbullPlaza,DeclineBloom,4,2,0.693147181
TurnbullSpangle_DeclineBloom,TurnbullSpangle,DeclineBloom,9,2,0.636514168
