Site,500mArea,Canola500m,500mCan%,1kmArea,Canola1km,1kmCan%,2kmArea,Canola2km,2kmCan%,Canolain2km,DistancetoCanola,FlightDistance,PrairieFragment,PDI,stability
Asotin,772653,0,0,3090612,0,0,12362446,71379,0.577385737,Below20,1699.771,Above,NA,0.54526426,1.532853914
Chipman1,772673,0,0,3090693,0,0,12362771,410633,3.321528806,Below20,1456.316,Above,Yes,0.772025884,2.647720023
Chipman2,772672,250669,32.44183819,3090688,1801874,58.3000937,12362754,5318057,43.01676633,Above20,224.074,Within,No,1,0.636223055
Clark1,772664,247827,32.07435574,3090654,894142,28.93051115,12362616,3208056,25.94965337,Above20,11.3915,Within,No,0.890160942,1.00393528
Clark2,772663,208820,27.02601263,3090651,1118828,36.2003992,12362604,2499539,20.21854781,Above20,158.727,Within,No,0.930645429,2.201398157
Hutchins,772667,260207,33.67647382,3090670,260207,8.419113008,12362680,586928,4.747579004,Below20,13.164,Within,NA,0.752970607,3.078963918
Kamiak,772659,0,0,3090635,0,0,12362540,0,0,Below20,2161.769,Above,Yes,0.828936453,2.51629956
Plaza,772522,0,0,3090088,0,0,12360350,0,0,Below20,8099.716,Above,NA,1,1.732050808
Smoot,772664,0,0,3090657,0,0,12362629,2619919,21.19224802,Above20,1153.906,Above,Yes,0.902439024,1.024826929
Spangle,772522,0,0,3090088,0,0,12360351,216189,1.749052272,Below20,1639.048,Above,NA,0.974358974,1.123288468
