,Site,Abundance,Abundance_mean,Abundance_SD,Abundance_SE,Richness,Richness_mean,Richness_SD,Richness_SE,Shannon_Diversity,Shannon_mean,Shannon_Diversity_SD,Shannon_Diversity_SE,Abundance_Tukey,Richness_Tukey,Diversity_Tukey
1,Asotin,136,45.33333333,33.30665599,19.2296068,7,2.333333333,1.527525232,0.881917104,1.839369404,0.613123135,0.640030226,0.369521623,a,a,a
2,Chipman1,588,196,154.5024272,89.20201791,29,9.666666667,4.725815626,2.728450924,6.395724785,2.131908262,0.448651623,0.259029135,a,a,a
3,Chipman2,283,94.33333333,30.022214,17.33333333,25,8.333333333,3.214550254,1.855921454,6.095038122,2.031679374,0.363222491,0.209706603,a,a,a
4,Clark1,189,63,46.03259715,26.57693235,23,7.666666667,4.163331999,2.40370085,5.516425536,1.838808512,0.699220837,0.403695338,a,a,a
5,Clark2,257,85.66666667,81.00205759,46.76655975,18,6,3.605551275,2.081665999,4.71858285,1.57286095,0.769271037,0.44413884,a,a,a
6,Hutchins,266,88.66666667,80.98353742,46.75586713,9,3,0,0,3.236945349,1.078981783,0.034001034,0.019630506,a,a,a
7,Kamiak,302,100.6666667,52.70041113,30.42659655,21,7,3.605551275,2.081665999,5.342146023,1.780715341,0.511894824,0.295542614,a,a,a
8,Smoot,262,87.33333333,48.39765835,27.94240107,20,6.666666667,1.154700538,0.666666667,5.410420802,1.803473601,0.147496487,0.085157137,a,a,a
9,Plaza,798,266,400.4784638,231.2163489,15,5,4.358898944,2.516611478,3.997357829,1.33245261,0.782871709,0.451991192,a,a,a
10,Spangle,265,88.33333333,118.8668723,68.62782073,13,4.333333333,2.081665999,1.201850425,3.934208311,1.31140277,0.592799403,0.342252895,a,a,a
