ID,date,period,site,transect,morphogroup,family,genus,Notes,week,land_type
1Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
2Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
3Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
4Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Andrenidae,Andrena,,22,canola
5Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Female,22,canola
6Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
7Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Female,22,canola
8Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
9Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Andrenidae,Andrena,,22,canola
10Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
11Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,22,canola
12Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
13Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,22,canola
14Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
15Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
16Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,22,canola
17Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Nomada,,22,canola
18Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,22,canola
19Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
20Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
