ID,date,period,site,land_type,latitude,longitude,transect,morphogroup,family,genus,head_width,intertegular_space,Notes,Notes
10Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.31,2.26,,
10Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.63,1.86,,
10Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.58,1.74,,
10Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.58,2.33,,
10Kam22,0022-06-30,2,Kamiak,natural,46.8676508,-117.1510624,2,Solitary,Andrenidae,Andrena,3.08,2.16,,
11Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.53,1.59,,
11Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.99,1.84,,
11Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.92,1.78,,
11Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.87,1.78,,
11Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,3.19,2.07,,
11Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.5,2.45,,
11Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.99,1.93,,
12Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.26,2.22,,
12Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.64,1.74,,
12Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.82,1.9,,
12Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,3.34,2.47,,
12Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.01,2.15,,
12Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.75,2.58,,
13Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.72,2,,
13Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.69,1.76,,
13Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.86,2.07,,
13Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.63,2.65,,
13Ckk21,0022-06-07,1,Clark2,natural,46.835963,-117.220154,2,Solitary,Andrenidae,Andrena,2.54,1.58,,
13Hut42,0022-07-07,2,Hutchins,semi,46.37795769,-117.877145,4,Solitary,Andrenidae,Andrena,4.38,3.23,,
13SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.42,2.24,,
13SH41,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.47,1.79,,
14Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.1,1.25,,
14Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.43,2.26,,
14Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.68,1.76,,
14Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,2.03,1.24,,
14Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.85,1.86,,
14Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.93,1.81,,
14SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.4,2.17,,
14SH41,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.01,1.3,,
15Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.08,1.3,,
15Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.45,2.23,,
15Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.72,1.75,,
15Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.97,1.97,,
15Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.71,0.88,,
15Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,1.79,1.37,,
15Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.03,2.03,,
15Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,3.12,1.98,,
16Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.11,1.35,,
16Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.89,2.01,,
16Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.73,1.81,,
16Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.65,0.96,,
16Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,1.77,1.19,,
16Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.82,1.89,,
16Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.94,1.6,,
16SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.99,1.29,,
17Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.26,1.49,,
17Aso22,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,2.1,1.25,"Head missing, recovered","Head missing, recovered"
17Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.61,1.65,,
17Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.8,1.88,,
17Chp32,0022-07-05,2,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.65,1.15,,
18Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.07,1.21,,
18Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.34,1.51,,
18Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.86,1.96,missing abdomen,missing abdomen
18Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.75,1.8,,
19Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.04,1.16,,
19Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.43,1.7,,
19Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.8,1.83,,
19Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.78,2.01,,
19SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.91,1.23,,
1Aso13,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,3.7,2.5,,
1Aso32,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,3,Solitary,Andrenidae,Andrena,2.8,1.84,,
1Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.4,2.24,Head missing/recovered,Head missing/recovered
1Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.77,1.8,,
1Chp13,0022-07-25,3,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,3.6,2.37,,
1Chp42,0022-07-05,2,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.86,2.64,,
1Chpp42,0022-07-05,2,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,2.61,1.42,,
1Ck11,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,3.05,1.99,,
1Hut12,0022-07-07,2,Hutchins,semi,46.37795769,-117.877145,1,Solitary,Andrenidae,Andrena,4.38,3.33,,
1Hut33,0022-07-20,3,Hutchins,semi,46.37795769,-117.877145,3,Solitary,Andrenidae,Andrena,3.73,2.82,,
1Hut43,0022-07-20,3,Hutchins,semi,46.37795769,-117.877145,4,Solitary,Andrenidae,Andrena,3.77,2.47,,
1Plaz11,0022-06-09,1,Plaza,natural,47.397565,-117.57463,1,Solitary,Andrenidae,Andrena,1.8,1.23,,
1Plaz21,0022-06-09,1,Plaza,natural,47.397565,-117.57463,2,Solitary,Andrenidae,Andrena,3.97,2.84,,
1Plaz41,0022-06-09,1,Plaza,natural,47.397565,-117.57463,4,Solitary,Andrenidae,Andrena,2.98,2.26,,
1SH32,0022-07-08,2,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.67,2.45,,
1Span11,0022-06-09,1,Spangle,natural,47.397378,-117.488876,1,Solitary,Andrenidae,Andrena,1.92,1.18,,
1Span21,0022-06-09,1,Spangle,natural,47.397378,-117.488876,2,Solitary,Andrenidae,Andrena,3.16,2.14,Male,Male
1Span41,0022-06-09,1,Spangle,natural,47.397378,-117.488876,4,Solitary,Andrenidae,Andrena,1.94,1.23,,
20Aso41,0022-06-08,1,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.5,1.74,,
20Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.65,1.74,,
20SH41,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.38,1.57,,
21Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.7,1.83,,
21Aso43,0022-07-21,3,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.71,1.69,,
21SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.62,1.69,,
22Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.88,2,,
22Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,3.02,1.88,,detached head included
23Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.83,1.82,,
23Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.67,1.78,,
24Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.87,1.92,,
25Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.79,1.77,,
25Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.54,2.13,,
25Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,1.77,1.17,,
26Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.27,2.08,,
26Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.03,1.91,,
27Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.82,1.83,,
27Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.79,1.89,,
27SH31,0022-06-21,1,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.8,1.14,,
28Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.72,1.86,,
28Chpp31,0022-06-02,1,Chipman2,semi,46.7371882,-117.0662461,3,Solitary,Andrenidae,Andrena,3.21,1.99,Male,Male
28Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.68,2.03,,
29Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.78,1.95,,
29Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.01,1.92,,
29Kam11,0022-06-15,1,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.76,1.83,,
2Aso12,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.84,1.66,,
2Aso22,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,3.75,2.7,,
2Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.37,2.39,,
2Chp12,0022-07-05,2,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,2.93,2.15,,
2Chp13,0022-07-25,3,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,2.93,2.13,,
2Chp41,0022-06-02,1,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.51,1.74,,
2Ck11,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,3.05,1.84,,
2Ck31,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,3,Solitary,Andrenidae,Andrena,2.38,1.65,,
2Ckk32,0022-06-27,2,Clark2,natural,46.835963,-117.220154,3,Solitary,Andrenidae,Andrena,2.72,1.6,,
2Kam22,0022-06-30,2,Kamiak,natural,46.8676508,-117.1510624,2,Solitary,Andrenidae,Andrena,3.23,2.1,,
2SH32,0022-07-08,2,Smoot ,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.76,1.87,,
2Span11,0022-06-09,1,Spangle,natural,47.397378,-117.488876,1,Solitary,Andrenidae,Andrena,2.55,1.59,,
2Span33,0022-08-02,3,Spangle,natural,47.397378,-117.488876,3,Solitary,Andrenidae,Andrena,2.69,1.85,,
30Aso42,0022-06-29,2,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.69,1.72,,
30Ck41,0022-06-07,1,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.07,2.04,,
