date,period,site,land_type,latitude,longitude,transect,morphogroup,family,genus,head_width,intertegular_space,in_canola,subgenus,species
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.31,2.26,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.63,1.86,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.58,1.74,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.58,2.33,no,NA,NA
2022-06-30,Peak-Bloom,Kamiak,natural,46.8676508,-117.1510624,2,Solitary,Andrenidae,Andrena,3.08,2.16,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.53,1.59,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.99,1.84,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.92,1.78,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.87,1.78,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,3.19,2.07,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.5,2.45,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.99,1.93,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.26,2.22,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.64,1.74,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.82,1.9,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,3.34,2.47,no,NA,NA
