Barcode#,ID,Date,Site,Period,Transect,Genus,Subgenus,Species,sex,HW,det:,Lat,Long,Day,Month,Year,County,State,Country,Host,Catch
WSUC00051701,1,7/21/2022,Aso_c,3,1,Bombus,,nevadensis,M,5.09,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051707,2,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,4.25,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051675,3,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.69,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051663,4,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.70,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051832,5,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.86,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051754,6,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.71,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051988,7,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.86,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051702,8,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.64,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051650,9,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.86,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051715,10,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.70,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051949,11,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.70,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051962,12,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.62,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051676,13,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.71,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051689,14,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.57,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051741,15,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.76,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051819,16,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.81,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051728,17,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.65,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051793,18,7/21/2022,Aso_c,3,1,Andrena,,prunorum,F,3.58,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052728,19,7/21/2022,Aso_c,3,1,Andrena,,scurra,F,2.87,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
