Name,area,buffer1km
Chipman1,3476.321533,1
Chipman2,3476.321533,1993.848022
Asotin,3476.321533,0
Hutchins,3476.321533,255
Smoot Hill,3476.321533,2
Clark1,3476.321533,979.9678345
Clark2,3476.321533,1166.569214
Kamiak,3476.321533,1
Plaza,3476.321533,0
Spangle,3476.321533,1
Chipman1 canola,3476.321533,1
Chipman2 canola,3476.321533,2059.860107
Asotin canola,3476.321533,855.8064575
Hutchins canola,3476.321533,259.1296997
Smoot Hill canola,3476.321533,1079.098511
Clark 1 canola,3476.321533,1593.694336
Clark2 canola,3476.321533,1059.223145
ODonnell canola,3476.321533,402.8979187
Airport canola,3476.321533,1213.019775
