,Site,Abun,Abun_mean,Abundance_SD,Abundance_SE,Richness,Rich_mean,Richness_SD,Richness_SE,Shannon_Diversity,Shannon_mean,Shannon_Diversity_SD,Shannon_Diversity_SE,Abundance_Tukey,Richness_Tukey,Diversity_Tukey
1,Asotin,211,70.33333333,45.88391149,26.49108865,22,7.333333333,2.081665999,1.201850425,3.952354786,1.317451595,0.308310484,0.178003141,a,ab,ab
2,Chipman1,217,72.33333333,27.31910199,15.77269089,21,7,3,1.732050808,3.557865891,1.185955297,0.470726203,0.2717739,a,ab,ab
3,Chipman2,209,69.66666667,109.5003805,63.22007417,14,4.666666667,3.785938897,2.185812841,2.609368351,0.86978945,0.38926359,0.224741438,a,ab,ab
4,Clark1,143,47.66666667,47.47982027,27.41248702,20,6.666666667,2.309401077,1.333333333,4.447807814,1.482602605,0.354842321,0.204868309,a,ab,ab
5,Clark2,63,21,9.539392014,5.507570547,20,6.666666667,0.577350269,0.333333333,5.144747715,1.714915905,0.167112489,0.096482441,a,ab,ab
6,Hutchins,142,47.33333333,15.37313674,8.875684637,18,6,1,0.577350269,3.146352793,1.048784264,0.412591355,0.23820973,a,ab,ab
7,Kamiak,110,36.66666667,14.571662,8.412952976,32,10.66666667,0.577350269,0.333333333,6.159221666,2.053073889,0.125173694,0.072269066,a,a,a
8,Plaza,36,12,6.92820323,4,11,3.666666667,1.154700538,0.666666667,3.159962899,1.053320966,0.521297575,0.300971296,a,ab,ab
9,Smoot,127,42.33333333,41.3077878,23.84906241,22,7.333333333,1.154700538,0.666666667,5.211718086,1.737239362,0.125480374,0.072446128,a,b,b
10,Spangle,46,15.33333333,13.65039682,7.881060278,10,3.333333333,1.154700538,0.666666667,2.708293873,0.902764624,0.417311191,0.240934729,a,b,b
