ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
1Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
2Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
3Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
4Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Andrenidae,Andrena,,
5Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Female,
6Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
7Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Female,
8Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
9Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Andrenidae,Andrena,,
10Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
11Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,
12Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
13Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,
14Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
15Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
16Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,
17Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Nomada,,
18Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Lasioglossum,,
19Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
20Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
21Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Nomada,,
22Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
23Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male. Abdomen missing,
24Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
25Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Sphecodes,,
26Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,
27Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
28Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
29Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
30Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
31Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
32Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
33Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
34Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina ,Female,
35Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
36Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,
37Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Nomada,,
38Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Megachilidae,Osmia,,
39Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
40Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
41Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
42Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
43Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,
1Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
2Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
3Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
4Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
5Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
6Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
7Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male, 
8Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
9Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,GB,Megachilidae,Osmia,,
10Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
11Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
12Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
