SiteSeason,Site,Season,Abundance,Richness,Shannon_Diversity
Asotin_3,Asotin,DeclineBloom,49,5,1.203553637
Chipman1_3,Chipman1,DeclineBloom,95,10,1.412593555
Chipman2_3,Chipman2,DeclineBloom,2,2,0.693147181
Clark1_3,Clark1,DeclineBloom,10,4,1.088899975
Clark2_3,Clark2,DeclineBloom,11,7,1.846220219
Hutchins_3,Hutchins,DeclineBloom,40,7,1.218356908
Kamiak_3,Kamiak,DeclineBloom,20,11,2.154783153
Plaza_3,TurnbullPlaza,DeclineBloom,20,3,0.518186213
Smoot_3,Smoot,DeclineBloom,17,6,1.599221257
Spangle_3,TurnbullSpangle,DeclineBloom,31,4,0.984704327
Asotin_2,Asotin,PeakBloom,123,9,1.082294779
Chipman1_2,Chipman1,PeakBloom,42,7,1.50049068
Chipman2_2,Chipman2,PeakBloom,11,3,0.600166073
Clark1_2,Clark1,PeakBloom,32,8,1.777748131
Clark2_2,Clark2,PeakBloom,22,7,1.771721769
Hutchins_2,Hutchins,PeakBloom,65,5,0.578426334
Kamiak_2,Kamiak,PeakBloom,43,11,2.091156722
Plaza_2,TurnbullPlaza,PeakBloom,8,5,1.559581156
Smoot_2,Smoot,PeakBloom,20,8,1.844439727
Spangle_2,TurnbullSpangle,PeakBloom,9,4,1.273028337
Asotin_1,Asotin,PreBloom,39,8,1.66650637
Chipman1_1,Chipman1,PreBloom,80,4,0.644781656
Chipman2_1,Chipman2,PreBloom,196,9,1.316055097
Clark1_1,Clark1,PreBloom,101,8,1.581159708
Clark2_1,Clark2,PreBloom,30,6,1.526805727
Hutchins_1,Hutchins,PreBloom,37,6,1.349569551
Kamiak_1,Kamiak,PreBloom,47,10,1.913281791
Plaza_1,TurnbullPlaza,PreBloom,8,3,1.08219553
Smoot_1,Smoot,PreBloom,90,8,1.768057102
Spangle_1,TurnbullSpangle,PreBloom,6,2,0.450561209
